FID,Shape *,Id,length,segment,sort,,
29,Polyline,1,437.846569,1-2,1,,437.846569
0,Polyline,2,186.700369,2-3,2,,624.546938
1,Polyline,3,205.892373,3-4,3,,830.439311
2,Polyline,4,160.953639,4-5,4,,991.39295
3,Polyline,5,106.847674,5-6,5,,1098.240624
4,Polyline,6,240.26279,6-7,6,,1338.503414
5,Polyline,7,113.848597,7-8,7,,1452.352011
13,Polyline,8,179.192731,8-9,8,,1631.544742
12,Polyline,9,99.634985,9-10,9,,1731.179727
11,Polyline,10,229.029359,10-11,10,,1960.209086
7,Polyline,11,89.804755,11-12,11,,2050.013841
10,Polyline,12,148.269919,12-13,12,,2198.28376
9,Polyline,13,152.09481,13-14,13,,2350.37857
8,Polyline,14,78.750072,14-15,14,,2429.128642
6,Polyline,15,1079.983816,15-16,15,,3509.112458
14,Polyline,16,86.349644,16-17,16,,3595.462102
19,Polyline,17,237.570536,17-18,17,,3833.032638
15,Polyline,18,159.068032,18-19,18,,3992.10067
16,Polyline,19,63.102566,19-20,19,,4055.203236
17,Polyline,20,52.681371,20-21,20,,4107.884607
18,Polyline,21,65.187417,21-22,21,,4173.072024
20,Polyline,22,769.062748,22-23,22,,4942.134772
21,Polyline,23,200.036183,23-24,23,,5142.170955
22,Polyline,24,104.066828,24-25,24,,5246.237783
23,Polyline,25,109.564232,25-26,25,,5355.802015
24,Polyline,26,203.525363,26-27,26,,5559.327378
25,Polyline,27,129.293403,27-28,27,,5688.620781
26,Polyline,28,108.986173,28-29,28,,5797.606954
28,Polyline,29,251.784048,29-30,29,,6049.391002
27,Polyline,30,495.750846,30-31,30,,6545.141848
